Name,website,univ--address
Noémie Chardonnens,##NA##,Universität Lausanne / Paris III --  Schweiz 
Jannie Wullms,##NA##,##NA## -- ##NA##
Prof. Dr. Thomas Johnen,http://www.fh-zwickau.de/index.php?id=1990,Westsächsische Hochschule Zwickau --  Scheffelstraße 39; Haus 1 39 08066 Zwickau Deutschland 
Prof. Dr. Hanno Ehrlicher,##NA##,Universität Augsburg --  Deutschland 
Prof. Dr. Giuliana Giusti,http://www.unive.it/nqcontent.cfm?a_id=82503&pid=5592869,Università Ca' Foscari di Venezia --  Ca' Bembo - Dorsoduro 1075 I-30123 Venedig Italien 
Dr. Nanette Rißler-Pipka,www.revistas-culturales.de; http://www.uni-augsburg.de/institute/isla/Aktuelles/Neue_Mitarbeiterin_am_Institut_f__r_Spanien-__Portugal-_und_Lateinamerikastudien__Dr__Nanette_Ri__ler-Pipka.html,Universität Augsburg --  Universitätsstr. 10 86159 Augsburg Deutschland 
Maria Amelina,http://www.romanistik.uni-frankfurt.de/mitarbeiter/amelina/index.html,Goethe-Universität Frankfurt am Main --   Frankfurt am Main Deutschland 
Marina-Rafaela Buch,##NA##,Johannes-Gutenberg-Universität Mainz --  Jakob-Welder-Weg 18 55128 Mainz Deutschland 
Dr. Doris Bachmann-Medick,http://www.bachmann-medick.de,Justus-Liebig-Universität Gießen --  Alter Steinbacher Weg  38 35394 Gießen Deutschland 
Prof. Dr. Raymund Wilhelm,http://www.uni-klu.ac.at/rom/inhalt/16.htm,Alpen-Adria-Universität Klagenfurt --   Klagenfurt Österreich 
Anne Wolfsgruber,##NA##,Universität Salzburg --  Österreich 
Sandra Rudman,http://www.uni-heidelberg.de/rose/personen/rudman.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstraße 3 69115 Heidelberg Deutschland 
Prof. Dr. Véronique Porra,http://www.staff.uni-mainz.de/porra/welcome.htm,Johannes-Gutenberg-Universität Mainz --   Mainz Deutschland 
Dr. Hendrik Schlieper,http://kw.uni-paderborn.de/institute-einrichtungen/institut-fuer-germanistik-und-vergleichende-literaturwissenschaft/komparatistik/personal/schlieper/,Universität Paderborn --  Warburger Straße 100 33098 Paderborn Deutschland 
Dr. habil. Günter Berghaus,##NA##,University of Bristol --  Qu 
Dr. Max  Doppelbauer,##NA##,Universität Wien --  1090 Wien Österreich 
Dr. Laura De Simone,www.ceeh.es,Centro de Estudios Europa Hispánica --  Felipe IV 12 bajo b  28014 Madrid Spanien 
Prof. Dr. Rafael Arnold,##NA##,Universität Rostock --  Deutschland 
Dr. Christine Felbeck,##NA##,##NA## -- ##NA##
Daniela Bister,##NA##,Philipps-Universität Marburg --  Wilhelm-Röpke-Str.  6D  Marburg Deutschland 
Erica Autelli,##NA##,Leopold-Franzens-Universität Innsbruck --  Innrain 52d 6020 Innsbruck Österreich 
Prof. Dr. Kirsten  Mahlke,##NA##,Ruprecht-Karls-Universität Heidelberg --  Deutschland 
Vanessa Schlüter,##NA##,Johannes-Gutenberg-Universität Mainz --  Deutschland 
Anna  Wörsdörfer,http://www.uni-giessen.de/cms/fbz/fb05/romanistik/institut/personal/profs/emeritus/rieger/DFG-Projekt,Justus-Liebig-Universität Gießen --  Karl-Glöckner-Straße  21 G 35394 Gießen Deutschland 
Mariela Ferrari,##NA##,##NA## -- ##NA##
Dr. Inka Wissner,##NA##,Universität Zürich --  Zürichbergstrasse 8 8032 Zürich Schweiz 
Dirk Brunke,##NA##,##NA## -- ##NA##
Fabienne Detoc,http://kw.uni-paderborn.de/institute-einrichtungen/institut-fuer-germanistik-und-vergleichende-literaturwissenschaft/komparatistik/personal/detoc/,Universität Paderborn --  Warburger Str. 100  33098 Paderborn Deutschland 
Julia Borst,http://www.mkschaeffauer.de/index.php/ger/Mitarbeiter/Julia-Borst,Universität Hamburg --   Hamburg Deutschland 
Stefan Serafin,##NA##,Universität Rostock --  August-Bebel-Str. 28 18055 Rostock Deutschland 
Caterina Sala,##NA##,##NA## --  Deutschland 
Dr. Miguel Gutiérrez Maté,##NA##,##NA## -- ##NA##
Frank  Weßel,##NA##,##NA## -- ##NA##
Walker Adriana,##NA##,##NA## -- ##NA##
Dr. Silvia Richter,https://zope.theologie.hu-berlin.de/guardini/mitarbeiter/wissenschaftliche-mitarbeiterin,Humboldt-Universität zu Berlin --  Deutschland 
Ouifaq Benkiran,##NA##,##NA## -- ##NA##
Prof. Dr. Martin Haase,http://www.uni-bamberg.de/romling,Otto-Friedrich-Universität Bamberg --  An der Universität 5 96045 Bamberg Deutschland 
Corinne Bayerl,##NA##,University of Chicago --  Vereinigte Staaten 
Kirsten  Mahlke,##NA##,##NA## -- ##NA##
Tobias Röhl,http://www.soziologie.uni-mainz.de/FB02/kalthoff/116.php,Johannes-Gutenberg-Universität Mainz --   Mainz Deutschland 
Britta Heinrauch,##NA##,##NA## -- ##NA##
Dr. Frank Jablonka,##NA##,Université de Picardie --  Frankreich 
Vicente Bernaschina,##NA##,##NA## -- ##NA##
Prof. Dr. Elmar Eggert,http://www.romanistik.uni-kiel.de/rs_neu_pers_ling1.htm,Christian-Albrechts-Universität zu Kiel --  Deutschland 
Prof. Dr. Margarita Borreguero,##NA##,Universität Heidelberg --  Deutschland 
Prof. Dr. Juergen Schmidt-Radefeldt,http://www.schmidt-radefeldt.de,Universität Rostock --  August-Bebel-Str. 28  18051 R o s t o c k  Deutschland 
Dr. Santiago Cevallos,##NA##,##NA## -- ##NA##
Prof. Dr. Eva Gugenberger,##NA##,##NA## -- ##NA##
Wiebke Beushausen,##NA##,Universität Heidelberg --  Deutschland 
Jessica Barzen,##NA##,##NA## -- ##NA##
Dr. Juliana  Perez,##NA##,Universidade de São Paulo --  Brasilien 
Dr. Michaela Banzhaf,##NA##,##NA## -- ##NA##
Dr. Biagio Costante,##NA##,##NA## -- ##NA##
Dr. Ofelia Huamanchumo de la Cuba,##NA##,Instituto Riva Agüero - Escuela de Altos Estudios en Humanidades --  Deutschland 
Dirk Brunke,##NA##,Ruhr-Universität Bochum --  Deutschland 
Iván Allende,##NA##, Instituto Cervantes / Fachhochschule Nordakademie --  Deutschland 
Elisabeth Heyne,##NA##,##NA## -- ##NA##
Prof. Dr. Silke  Jansen,##NA##,##NA## -- ##NA##
Lisa Zeller,##NA##,Universität Mainz --  Deutschland 
Corinna Albert,##NA##,Ruhr-Universität Bochum --  Universitätsstraße 150 44801 Bochum Deutschland 
Prof. Dr. Andre Klump,http://www.uni-trier.de/index.php?id=12827,Universität Trier --   Trier Deutschland 
Dr. Anne Brüske,http://www.uni-heidelberg.de/transculturality/karibik-nordamerika.html,Ruprecht-Karls-Universität Heidelberg --  Marstallstraße ^6 69117 Heidelberg Deutschland 
Magdeleine CLO,##NA##,##NA## -- ##NA##
PD Dr. Cordula Neis,##NA##,##NA## -- ##NA##
Dr. Heidrun Witte,##NA##,Universidad de Las Palmas de Gran Canaria --  c/ Pérez del Toro 1 35003 Las Palmas de Gran Canaria Spanien 
Dr. Maryline Cestier,##NA##,##NA## -- ##NA##
Dr. Arlety Góngora,##NA##,Instituto de Información Científica y Tecnológica --  Capitolio de La Habana 1  Ciudad Habana Kuba 
Francesca  Funaro,##NA##,##NA## -- ##NA##
Dr. Oriana Ferraguzzi,##NA##,##NA## --  Italien 
Ursula Arning,http://ursulaarning.cultdoc.uni-giessen.de/ursula-arning,ZB MED - Leibniz-Informationszentrum für Lebenswissenschaften --  Gleueler Str.  60  Köln Deutschland 
Jan Casalicchio,http://it.linkedin.com/pub/jan-casalicchio/5a/bbb/63a,##NA## --  Italien 
Julia Blandfort,http://www-cgi.uni-regensburg.de/Fakultaeten/Romanistik/Institut/index.php?id=507,Universität Regensburg --  Universitätsstraße  31 93040 Regensburg Deutschland 
Dr. Birgit  Aka,http://www.phil.uni-passau.de/die-fakultaet/lehrstuehle-professuren/romanistik/romanische-literaturen/personal/birgit-aka.html,Universität Passau --  Deutschland 
Dr. Gabriela Cordone,##NA##,Université de Lausanne --  Schweiz 
Cynthia  Carggiolis Abarza,##NA##,Ruhr-Universität Bochum --  Deutschland 
Dr. Patricia Bigdely,www.francecommunication.de,##NA## --  Deutschland 
Dr. Elina Absalyamova,##NA##,Université Paris 13 --   Paris Frankreich 
Dr. Henriette  Partzsch,http://www.gla.ac.uk/schools/mlc/staff/henriettepartzsch/,University of Glasgow --   Glasgow Vereinigtes Königreich 
Prof. Dr. Dietrich Scholler,http://www.romanistik.uni-mainz.de/scholler/,Johannes Gutenberg-Universität Mainz --  Welderweg 18 55099 Mainz Deutschland 
Tatjana  Leichsering,##NA##,Goethe-Universität Frankfurt am Main --  Grüneburgplatz  1  Frankfurt am Main Deutschland 
Hanna Budig,http://www.uni-bamberg.de/?id=75328,Otto-Friedrich-Universität Bamberg / Universitat d'Alacant --  Deutschland 
Dr. Cecilia Mussini,##NA##,##NA## -- ##NA##
Prof. Dr. Eva-Maria Remberger,##NA##,##NA## -- ##NA##
Corinna Koch,##NA##,Ruhr-Universität Bochum --   Bochum Deutschland 
Laura Bally,##NA##,Peter Lang Verlag --  Deutschland 
Dr. Janka  Wunderlich,##NA##,##NA## -- ##NA##
Fanny Romoth,##NA##,Universität Rostock --  Deutschland 
Dr. Beatrice Bernardini,##NA##,##NA## -- ##NA##
Dr. Fernando Ramos Arenas,##NA##,Universität Leipzig --  Deutschland 
Dr. Ingo Feldhausen,http://www.romanistik.uni-frankfurt.de/mitarbeiter/feldhausen/index.html,Goethe-Universität Frankfurt --   Frankfurt Deutschland 
Neuere Publikationen:,http://www.uni-leipzig.de/~iafsl/a_de_toro.html,Universität Leipzig --  Beethovenstr. 15 04107 Leipzig Deutschland 
Helena Wolff,##NA##,##NA## -- ##NA##
Dr. Daniela Müller,##NA##,##NA## -- ##NA##
Dr. Lidia Cámara,##NA##,##NA## --  Deutschland 
Prof. Dr. Alfonso de Toro,http://www.uni-leipzig.de/~iafsl/detoro1.html,Universität Leipzig --  Beethovenstraße 15 04107 Leipzig Deutschland 
Dr. Carmen Konzett,http://www.uibk.ac.at/romanistik/personal/konzett/,Leopold-Franzens-Universität Innsbruck --   Innsbruck Österreich 
Dr. Aclay Asutay,##NA##,##NA## --  Deutschland 
Ingrid Scholz,##NA##,##NA## -- ##NA##
Prof. Dr. Helene Blondeau,##NA##,University of Florida --  Vereinigte Staaten 
PD Dr. Kristin Reinke,http://www.staff.uni-mainz.de/reinke/,Johannes-Gutenberg-Universität Mainz --  Deutschland 
Dr. Myriam Benarroch,##NA##,##NA## -- ##NA##
Dr. Kim Schulte, ##NA##,"	Universitat Jaume I, Castellón --  Deutschland "
Dr. Sonja Kral,http://romanistik.univie.ac.at/personal/,Universität Wien --  Garnisongasse  13 1090 Wien Österreich 
Sylvia Jutz,##NA##,##NA## -- ##NA##
Enrico Serena,##NA##,Ruhr-Universität Bochum --   Bochum Deutschland 
Madalina Simona  Schwarz,##NA##,##NA## --  Deutschland 
Beatrice Vervuert,##NA##,Iberoamericana / Vervuert. Wiss. Buchhandlung und Verlag --  Deutschland 
Prof. Dr. Peter Stein,http://www.romanistik.hu-berlin.de/stein.html,Humboldt-Universität zu Berlin --  Unter den Linden 6 / Sitz: Dorotheenstraße 65 10099 Berlin Deutschland 
Prof. Dr. Jörg Dünne,http://www.dispositio.de,Universität Erfurt --  Nordhäuser Str.  63 99089 Erfurt Deutschland 
PD Dr. Karin Becker,##NA##,Westfälische Wilhelms-Universität Münster --  Deutschland 
Elmar Schmidt,##NA##,Universität Bonn --  Am Hof 1 53113 Bonn Deutschland 
Prof. Dr. Kay Gonzalez-Vilbazo,##NA##,University of Illinois at Chicago --  601 S. Morgan St. MC 315 Chicago IL 60607-7117 Vereinigte Staaten 
Susanne Lowien,##NA##,##NA## -- ##NA##
Prof. Dr. Christoph Bürgel,##NA##,Universität Osnabrück --  Deutschland 
Imma Martí,http://homepage.ruhr-uni-bochum.de/imma.marti/,Ruhr-Universität Bochum --   Bochum Deutschland 
Dr. Niels Taubert,##NA##,##NA## -- ##NA##
Cornelius Griep,##NA##,##NA## --  Deutschland 
Ronny Beckert,##NA##,##NA## -- ##NA##
Dr. Marina Corrêa,##NA##,Universität Wien --  Österreich 
Prof. Dr. Ursula  Reutner,http://www.phil.uni-passau.de/die-fakultaet/lehrstuehle-professuren/romanistik/romanischesprachwissenschaft/personal/prof-dr-ursula-reutner/deutsch.html,Universität Passau --  Innstraße 40 94032 Passau Deutschland 
Diana  Di Maria,##NA##,##NA## -- ##NA##
Dr. Amina  Kropp,http://www.phil.uni-mannheim.de/romsem/mitarbeiterinnen/sprach_medienwissenschaft/kropp_amina_dr/index.html,Universität Mannheim --  L 15 1-6 68131 Mannheim Deutschland 
Prof. Dr. Elwys De Stefani,http://www.italiano.unibe.ch/content/linguistica/personale_di_linguistica/de_stefani/index_ger.html,Universität Bern --   Bern Schweiz 
Julien Bobineau,##NA##,Universität Würzburg --  Am Hubland  97074 Würzburg Deutschland 
Prof. Dr. Hans-Jürgen Lüsebrink,http://www.phil.uni-sb.de/fr/romanistik/IK/_team/luesebrink.php,Universität des Saarlandes --   Saarbrücken Deutschland 
Dr. Valeriu P. Stancu,##NA##,Humboldt-Universität zu Berlin / Universitatea Alexandru Ioan Cuza Iasi --  Unter den Linden  6 10099 Berlin Deutschland 
 Ximena Ordónez ,##NA##,Universität Göttingen --  Deutschland 
Patricia Winkler,##NA##,##NA## -- ##NA##
Lidia Molina,##NA##,RWTH-Aachen --  Kármánst. 17/19  52062  Deutschland 
Dr. habil. Katja Ploog,##NA##,Université de Franche-Comté --  30 rue Mégevand  25030 Besançon Frankreich 
María del Carmen Luis Gironés,##NA##,##NA## --   Bad Hersfeld Deutschland 
Julie  Behrman Ortegon,##NA##,##NA## --  Deutschland 
Elena Avrasina,##NA##,##NA## --  Deutschland 
Jasmin Marjam Rezai Dubiel,##NA##,Johannes-Gutenberg-Universität Mainz --  Jakob-Welder-Weg 18 55128 Mainz Deutschland 
Stefanie Voigt,www.linkedin.com/in/stvoigt,Rijksuniversiteit Groningen --  Niederlande 
Katrin Ziegler,##NA##,Università degli studi di Macerata --  Italien 
Hiltrud Lautenbach,##NA##,##NA## -- ##NA##
Marcos Zampieri,##NA##,Universität zu Köln --  Deutschland 
Dr. Tilmann Altenberg,http://www.cardiff.ac.uk/modern-languages/profile/tilmann-altenberg/,Cardiff University --  65-68 Park Place  CF10 3AS Cardiff Vereinigtes Königreich 
Mercè Balaguer Jardí,##NA##,##NA## -- ##NA##
Julia Zwink,http://www.geisteswissenschaften.fu-berlin.de/we05/mitarbeiter/zwink/index.html,Freie Universität Berlin --  Habelschwerdter Allee 45 14195 Berlin Deutschland 
Dr. Katrin Dennerlein,##NA##,##NA## -- ##NA##
Andrea  Wurdak,##NA##,##NA## --  Deutschland 
Anke Schmidt,##NA##,##NA## -- ##NA##
PD Dr. Gabriele Birken-Silverman,http://www.phil.uni-mannheim.de/romsem/mitarbeiterinnen/sprach_medienwissenschaft/birken_silverman_gabriele_pd_dr/index.html,Universität Mannheim --  Deutschland 
Dr. Johanna  Wolf,##NA##,Universität Salzburg --  Österreich 
Prof. Dr. Wendy Ayres-Bennett,http://www.mml.cam.ac.uk/french/staff/wmb1001/,University of Cambridge --  Sidgwick Avenue   Cambridge Vereinigtes Königreich 
Dr. Christian Grünnagel,http://www.uni-giessen.de/cms/fbz/fb05/romanistik/Institut/Personen/Wissmit/gruennagel,Justus-Liebig-Universität Gießen --  Karl-Glöckner-Straße  21 G 35394 Gießen Deutschland 
Sylvia Rexing,http://www.uni-heidelberg.de/rose/personen/rexing.html,Ruprecht-Karls-Universität Heidelberg --  Seminarstr. 3 69117 Heidelberg Deutschland 
Martin Lange,##NA##,##NA## -- ##NA##
Dr. Regine Brossmann,##NA##,##NA## -- ##NA##
Dr. Yasmin  Temelli,##NA##,Heinrich-Heine-Universität Düsseldorf --  Unversitätsstraße 1 40225 Düsseldorf Deutschland 
Sarah Dietrich,##NA##,##NA## -- ##NA##
Helmut Ullrich,##NA##,Ruprecht-Karls-Universität Heidelberg --  Deutschland 
Dr. Christof Schöch,www.christof-schoech.de,Universität Würzburg --  Am Hubland  97074 Würzburg Deutschland 
Prof. Dr. Irene Weber Henking,##NA##,##NA## -- ##NA##
Dr. Christine Konecny,http://www.uibk.ac.at/romanistik/personal/konecny/,Leopold-Franzens-Universität Innsbruck --  Innrain 52d 6020 Innsbruck Österreich 
Louis Malz,##NA##,##NA## -- ##NA##
Christoph Maria Sanders,##NA##,Universität Tübingen --  Deutschland 
Prof. Dr. Oscar Loureda,http://www.uni-heidelberg.de/fakultaeten/neuphil/iask/sued/seminar/abteilungen/spanisch/profil_loureda.html,Ruprecht-Karls-Universität Heidelberg --  Deutschland 
Dr. Gregor Schuhen,##NA##,##NA## -- ##NA##
Ines Hansen,##NA##,Georg-August-Universität Göttingen --  Deutschland 
Prof. Dr. Carmela Di Giovanni,##NA##,##NA## -- ##NA##
Prof. Dr. Benjamin Lucas Meisnitzer,##NA##,Johannes Gutenberg-Universität Mainz --  Welderweg  18 55099 Mainz Deutschland 
Dr. Anne Kraume,"	http://www.uni-potsdam.de/romanistik/ette/kraume.html	Universität Potsdam --  Am Neuen Palais 10, Haus 19  14469 Potsdam Deutschland ","	Universität Potsdam --  Am Neuen Palais 10, Haus 19  14469 Potsdam Deutschland "
Anne-Kathrin Willeke,##NA##,##NA## -- ##NA##
Karen Saban,##NA##,Universität Heidelberg --  Deutschland 
Camila de Lira Santos,##NA##,##NA## -- ##NA##
Dr. Daron Burrows,##NA##,University of Manchester --  Vereinigtes Königreich 
Kathrin Kraller,##NA##,Universität Regensburg --  Deutschland 
Dr. Luca Laurenti Di Biasio,##NA##,Libera Università di Bolzano --   Bolzano Italien 
Daniela Gigante,##NA##,##NA## -- ##NA##
Dr. António  Dinis,##NA##,Universität Graz/Wien --  Österreich 
Vania Cescon,##NA##,##NA## -- ##NA##
Victoria del Valle,http://www.ruhr-uni-bochum.de/romsem/personal/delvalle/,Ruhr-Universität Bochum --   Bochum Deutschland 
Filippo Boldrini,##NA##,##NA## -- ##NA##
Dr. Barbieri Beatrice,##NA##,##NA## -- ##NA##
Dr. Anna-Sophia Buck,##NA##,##NA## --   Paris Frankreich 
Dr. Laura Biella,##NA##,Zentrales Sprach Labor Universität Heidelberg --  Deutschland 
Ana-Sofia Commichau,##NA##,Universität Heidelberg --  Deutschland 
Dr. Aura Heydenreich,##NA##,##NA## -- ##NA##
Antje Ziethen,##NA##,McGill University --  Deutschland 
Aline Willems,##NA##,Universität Trier --  Deutschland 
Jonas Hock,http://www.uni-regensburg.de/sprache-literatur-kultur/romanistik/literaturwissenschaft/mitarbeitende-von-treskow/jonas-hock/index.html,Universität Regensburg --  Universitätsstraße 31 93053 Regensburg Deutschland 
Haimo  Stiemer,##NA##,##NA## --  Deutschland 
Prof. Dr. Eva Martha Eckkrammer,##NA##,##NA## -- ##NA##
Katja Priebe,##NA##,Goethe-Universität Frankfurt am Main --   Frankfurt am Main Deutschland 
Sara Benítez Alonso,##NA##,##NA## -- ##NA##
Prof. Dr. Andrea Pagni,http://www.romanistik.phil.uni-erlangen.de/institut/mitarbeiterinnen/pagni.shtml,FAU Erlangen-Nürnberg --  Bismarckstr.  1 91054 Erlangen Deutschland 
