Name,Address,Description,Latitude,Longitude,TimeStamp,TimeSpan:begin,TimeSpan:end,GettyID
Helmut Ullrich,Heidelberg,Helmut Ullrich,,,,,,
Prof. Dr. Oscar Loureda,Heidelberg,Prof. Dr. Oscar Loureda,,,,,,
Karen Saban,Heidelberg,Karen Saban,,,,,,
Dr. Laura Biella,Heidelberg,Dr. Laura Biella,,,,,,
Ana-Sofia Commichau,Heidelberg,Ana-Sofia Commichau,,,,,,
Prof. Dr. Bettina Kluge,Hildesheim,Prof. Dr. Bettina Kluge,,,,,,
Spanische ArbeitsmigrantInnen in Niedersachsen,Hildesheim,Spanische ArbeitsmigrantInnen in Niedersachsen,,,,,,
Prof. Dr. Andrei Corbea-Hoisie,Iasi,Prof. Dr. Andrei Corbea-Hoisie,,,,,,
Prof. Dr. Ursula Mathis-Moser,Innsbruck,Prof. Dr. Ursula Mathis-Moser,,,,,,
Prof. Dr. Birgit Mertz-Baumgartner,Innsbruck,Prof. Dr. Birgit Mertz-Baumgartner,,,,,,
Dr. Angelo Pagliardini,Innsbruck,Dr. Angelo Pagliardini,,,,,,
Julia Pümpel,Innsbruck,Julia Pümpel,,,,,,
Dr. Daniel Winkler,Innsbruck,Dr. Daniel Winkler,,,,,,
PD Dr. Gerhild Fuchs,Innsbruck,PD Dr. Gerhild Fuchs,,,,,,
Prof. Dr. Heidi Siller-Runggaldier,Innsbruck,Prof. Dr. Heidi Siller-Runggaldier,,,,,,
Dr. Julia Pröll,Innsbruck,Dr. Julia Pröll,,,,,,
Martina Albrich,Innsbruck,Martina Albrich,,,,,,
Prof. Dr. Eva Lavric,Innsbruck,Prof. Dr. Eva Lavric,,,,,,
Erica Autelli,Innsbruck,Erica Autelli,,,,,,
Dr. Carmen Konzett,Innsbruck,Dr. Carmen Konzett,,,,,,
Dr. Christine Konecny,Innsbruck,Dr. Christine Konecny,,,,,,
Dr. Oriana Ferraguzzi,Italien,Dr. Oriana Ferraguzzi,,,,,,
Jan Casalicchio,Italien,Jan Casalicchio,,,,,,
Dr. Holger Wochele,Jena,Dr. Holger Wochele,,,,,,
Prof. Dr. Rainer Schlösser,Jena,Prof. Dr. Rainer Schlösser,,,,,,
Annika  Mayer,Kassel,Annika  Mayer,,,,,,
Dr. Patrick Eser,Kassel,Dr. Patrick Eser,,,,,,
Julia Anslik,Kiel,Julia Anslik,,,,,,
Julia Engels,Kiel,Julia Engels,,,,,,
Dr. Francesca Bravi,Kiel,Dr. Francesca Bravi,,,,,,
Prof. Dr. Elmar Eggert,Kiel,Prof. Dr. Elmar Eggert,,,,,,
Prof. Dr. Raymund Wilhelm,Klagenfurt,Prof. Dr. Raymund Wilhelm,,,,,,
Prof. Dr. Kirsten Dickhaut,Koblenz,Prof. Dr. Kirsten Dickhaut,,,,,,
Dr. Sascha Diwersy,Köln,Dr. Sascha Diwersy,,,,,,
Benjamin Loy,Köln,Benjamin Loy,,,,,,
Dr. Matthias Bürgel,Köln,Dr. Matthias Bürgel,,,,,,
Ursula Arning,Köln,Ursula Arning,,,,,,
Marcos Zampieri,Köln,Marcos Zampieri,,,,,,
Dr. Danielle  Dahan-Feucht,Konstanz,Dr. Danielle  Dahan-Feucht,,,,,,
PD Dr. Niklas Bender,Landau,PD Dr. Niklas Bender,,,,,,
Dr. Heidrun Witte,Las Palmas de Gran Canaria,Dr. Heidrun Witte,,,,,,
Sara Bernechea,Lausanne,Sara Bernechea,,,,,,
Noémie Chardonnens,Lausanne,Noémie Chardonnens,,,,,,
Dr. Gabriela Cordone,Lausanne,Dr. Gabriela Cordone,,,,,,
Dr. Tanja Schwan,Leipzig,Dr. Tanja Schwan,,,,,,
Katharina Funke,Leipzig,Katharina Funke,,,,,,
Prof. Dr. Elisabeth Burr,Leipzig,Prof. Dr. Elisabeth Burr,,,,,,
Julia Burkhardt,Leipzig,Julia Burkhardt,,,,,,
Dr. Fernando Ramos Arenas,Leipzig,Dr. Fernando Ramos Arenas,,,,,,
Neuere Publikationen:,Leipzig,Neuere Publikationen:,,,,,,
Prof. Dr. Alfonso de Toro,Leipzig,Prof. Dr. Alfonso de Toro,,,,,,
Dr. Reindert Dhondt,Leuven,Dr. Reindert Dhondt,,,,,,
Dr. Álvaro Ceballos Viro,Liège,Dr. Álvaro Ceballos Viro,,,,,,
Dr. Ofelia Huamanchumo de la Cuba,Lima,Dr. Ofelia Huamanchumo de la Cuba,,,,,,
PD Dr. Ana Monica Fonseca,Lisbon,PD Dr. Ana Monica Fonseca,,,,,,
Dr. Simone Ventura,London,Dr. Simone Ventura,,,,,,
Prof. Dr. Gudrun Ziegler,Luxemburg,Prof. Dr. Gudrun Ziegler,,,,,,
Katrin Ziegler,Macerata,Katrin Ziegler,,,,,,
Dr. Laura De Simone,Madrid,Dr. Laura De Simone,,,,,,
Dr. José Carlos  Huisa Téllez,Mainz,Dr. José Carlos  Huisa Téllez,,,,,,
Frédéric Nicolosi,Mainz,Frédéric Nicolosi,,,,,,
Dr. Robert Lukenda,Mainz,Dr. Robert Lukenda,,,,,,
Prof. Dr. Barbara Wehr,Mainz,Prof. Dr. Barbara Wehr,,,,,,
Dr. Marcel Vejmelka,Mainz,Dr. Marcel Vejmelka,,,,,,
Dr. Timo  Obergöker,Mainz,Dr. Timo  Obergöker,,,,,,
Alessandra  Matrone,Mainz,Alessandra  Matrone,,,,,,
Prof. Dr. Sylvia  Thiele,Mainz,Prof. Dr. Sylvia  Thiele,,,,,,
Dr. Caroline Mannweiler,Mainz,Dr. Caroline Mannweiler,,,,,,
Prof. Dr. Martina  Schrader-Kniffki,Mainz,Prof. Dr. Martina  Schrader-Kniffki,,,,,,
Prof. Dr. Johannes Angermüller,Mainz,Prof. Dr. Johannes Angermüller,,,,,,
Lisa Zeller,Mainz,Lisa Zeller,,,,,,
Dr. Irene M. Weiss,Mainz,Dr. Irene M. Weiss,,,,,,
Marina-Rafaela Buch,Mainz,Marina-Rafaela Buch,,,,,,
Prof. Dr. Véronique Porra,Mainz,Prof. Dr. Véronique Porra,,,,,,
Vanessa Schlüter,Mainz,Vanessa Schlüter,,,,,,
Tobias Röhl,Mainz,Tobias Röhl,,,,,,
Lisa Zeller,Mainz,Lisa Zeller,,,,,,
Prof. Dr. Dietrich Scholler,Mainz,Prof. Dr. Dietrich Scholler,,,,,,
PD Dr. Kristin Reinke,Mainz,PD Dr. Kristin Reinke,,,,,,
Jasmin Marjam Rezai Dubiel,Mainz,Jasmin Marjam Rezai Dubiel,,,,,,
Prof. Dr. Benjamin Lucas Meisnitzer,Mainz,Prof. Dr. Benjamin Lucas Meisnitzer,,,,,,
Dr. Daron Burrows,Manchester,Dr. Daron Burrows,,,,,,
Julia Wittemann,Mannheim,Julia Wittemann,,,,,,
Dr. Amina  Kropp,Mannheim,Dr. Amina  Kropp,,,,,,
PD Dr. Gabriele Birken-Silverman,Mannheim,PD Dr. Gabriele Birken-Silverman,,,,,,
Raphaela Braun,Marburg,Raphaela Braun,,,,,,
Carlos Collado Seidel,Marburg,Carlos Collado Seidel,,,,,,
Daniela Bister,Marburg,Daniela Bister,,,,,,
Prof. Dr. Helene Blondeau,Miami,Prof. Dr. Helene Blondeau,,,,,,
Aline Willems,Montréal,Aline Willems,,,,,,
Carolina  Spiegel,München,Carolina  Spiegel,,,,,,
PD Dr. Aurelia Merlan,München,PD Dr. Aurelia Merlan,,,,,,
Alexander Kagerer,München,Alexander Kagerer,,,,,,
PD Dr. Lars Schneider,München,PD Dr. Lars Schneider,,,,,,
Stefanie Bollmann,Münster,Stefanie Bollmann,,,,,,
Dr. Martin Baxmeyer,Münster,Dr. Martin Baxmeyer,,,,,,
Sekretariat der Spanischen Abteilung,Münster,Sekretariat der Spanischen Abteilung,,,,,,
PD Dr. Karin Becker,Münster,PD Dr. Karin Becker,,,,,,
Bastienne Schulz  ,Nancy,Bastienne Schulz  ,,,,,,
Dr. Diego Bertelli,New Haven,Dr. Diego Bertelli,,,,,,
Dr. Annette Clamor,Osnabrück,Dr. Annette Clamor,,,,,,
Prof. Dr. Wolfgang Asholt,Osnabrück,Prof. Dr. Wolfgang Asholt,,,,,,
Prof. Dr. Christoph Bürgel,Osnabrück,Prof. Dr. Christoph Bürgel,,,,,,
Prof. Dr. Jörn  Steigerwald,Paderborn,Prof. Dr. Jörn  Steigerwald,,,,,,
Tanja Bollow,Paderborn,Tanja Bollow,,,,,,
Dr. Hendrik Schlieper,Paderborn,Dr. Hendrik Schlieper,,,,,,
Fabienne Detoc,Paderborn,Fabienne Detoc,,,,,,
Ulrike  Pfeifer,Palma de Mallorca,Ulrike  Pfeifer,,,,,,
Dr. Ralph Winter,Paris,Dr. Ralph Winter,,,,,,
Anne Seitz,Paris,Anne Seitz,,,,,,
Apl. Prof. Jalouneix Catherine,Paris,Apl. Prof. Jalouneix Catherine,,,,,,
Dr. Susannah  Ellis,Paris,Dr. Susannah  Ellis,,,,,,
Dr. Elina Absalyamova,Paris,Dr. Elina Absalyamova,,,,,,
Dr. Anna-Sophia Buck,Paris,Dr. Anna-Sophia Buck,,,,,,
Alexander Gropper,Passau,Alexander Gropper,,,,,,
Dr. Magdalena Mancas,Passau,Dr. Magdalena Mancas,,,,,,
Dr. Marion Kühn,Passau,Dr. Marion Kühn,,,,,,
Dr. Birgit  Aka,Passau,Dr. Birgit  Aka,,,,,,
Prof. Dr. Ursula  Reutner,Passau,Prof. Dr. Ursula  Reutner,,,,,,
PD Dr. Lydia  Bauer,Potsdam,PD Dr. Lydia  Bauer,,,,,,
Antonio  Barquero,Potsdam,Antonio  Barquero,,,,,,
Tobias Kraft,Potsdam,Tobias Kraft,,,,,,
Prof. Dr. Gerda Haßler,Potsdam,Prof. Dr. Gerda Haßler,,,,,,
Dr. Anne Kraume,Potsdam,Dr. Anne Kraume,,,,,,
Daniel Dengler,Regensburg,Daniel Dengler,,,,,,
Dr. Marina Ortrud M. Hertrampf,Regensburg,Dr. Marina Ortrud M. Hertrampf,,,,,,
Prof. Dr. Isabella von Treskow,Regensburg,Prof. Dr. Isabella von Treskow,,,,,,
Dr. Simona Fabellini,Regensburg,Dr. Simona Fabellini,,,,,,
PD Dr. Annette  Endruschat,Regensburg,PD Dr. Annette  Endruschat,,,,,,
Dr. Dagmar Schmelzer,Regensburg,Dr. Dagmar Schmelzer,,,,,,
Julia Blandfort,Regensburg,Julia Blandfort,,,,,,
Kathrin Kraller,Regensburg,Kathrin Kraller,,,,,,
Jonas Hock,Regensburg,Jonas Hock,,,,,,
Dr. Elisa De Roberto,Roma,Dr. Elisa De Roberto,,,,,,
Prof. Dr. Juergen Schmidt-Radefeldt,Rostock,Prof. Dr. Juergen Schmidt-Radefeldt,,,,,,
Prof. Dr. Albrecht  Buschmann,Rostock,Prof. Dr. Albrecht  Buschmann,,,,,,
Christoph  Behrens,Rostock,Christoph  Behrens,,,,,,
Prof. Dr. Rafael Arnold,Rostock,Prof. Dr. Rafael Arnold,,,,,,
Stefan Serafin,Rostock,Stefan Serafin,,,,,,
Prof. Dr. Juergen Schmidt-Radefeldt,Rostock,Prof. Dr. Juergen Schmidt-Radefeldt,,,,,,
Fanny Romoth,Rostock,Fanny Romoth,,,,,,
Carla Amado,Saarbrücken,Carla Amado,,,,,,
Dr. Sabine Narr,Saarbrücken,Dr. Sabine Narr,,,,,,
Prof. Dr. Hans-Jürgen Lüsebrink,Saarbrücken,Prof. Dr. Hans-Jürgen Lüsebrink,,,,,,
Nicholas Williams,Saarbrücken,Nicholas Williams,,,,,,
Christian Schweizer,Saarbrücken,Christian Schweizer,,,,,,
Juan Pedro Rojas Pichardo,Saarbrücken,Juan Pedro Rojas Pichardo,,,,,,
Dr. Jeanne Ruffing,Saarbrücken,Dr. Jeanne Ruffing,,,,,,
Dr. Maria Hegner,Saarbrücken,Dr. Maria Hegner,,,,,,
Prof. Dr. Christiane  Solte-Gresser,Saarbrücken,Prof. Dr. Christiane  Solte-Gresser,,,,,,
Vesna  Stirnadel,Saarbrücken,Vesna  Stirnadel,,,,,,
Dr. Virginie Geisler,Saarbrücken,Dr. Virginie Geisler,,,,,,
Dr. Laura Sergo,Saarbrücken,Dr. Laura Sergo,,,,,,
Prof. Dr. Christoph Vatter,Saarbrücken,Prof. Dr. Christoph Vatter,,,,,,
Prof. Dr. Hans-Jürgen Lüsebrink,Saarbrücken,Prof. Dr. Hans-Jürgen Lüsebrink,,,,,,
Dr. Markus Ebenhoch,Salzburg,Dr. Markus Ebenhoch,,,,,,
Prof. Dr. Gudrun Bachleitner-Held,Salzburg,Prof. Dr. Gudrun Bachleitner-Held,,,,,,
Anne Wolfsgruber,Salzburg,Anne Wolfsgruber,,,,,,
Dr. Johanna  Wolf,Salzburg,Dr. Johanna  Wolf,,,,,,
Dr. Juliana  Perez,Sao Paolo,Dr. Juliana  Perez,,,,,,
Dr. Maribel Cedeño Rojas,Siegen,Dr. Maribel Cedeño Rojas,,,,,,
Prof. Dr. Christian  von Tschilschke,Siegen,Prof. Dr. Christian  von Tschilschke,,,,,,
Prof. Dr. Antonella Benucci,Siena,Prof. Dr. Antonella Benucci,,,,,,
Prof. Dr. Henry Thorau,Trier,Prof. Dr. Henry Thorau,,,,,,
Prof. Dr. Andre Klump,Trier,Prof. Dr. Andre Klump,,,,,,
Reinhard Berron,Tübingen,Reinhard Berron,,,,,,
Dr. Laurentius Pop,Tübingen,Dr. Laurentius Pop,,,,,,
Dr. Rada Bieberstein,Tübingen,Dr. Rada Bieberstein,,,,,,
Serena Bartali,Tübingen,Serena Bartali,,,,,,
Christoph Maria Sanders,Tübingen,Christoph Maria Sanders,,,,,,
Dr. habil. Ferran Robles Sabater,Valencia,Dr. habil. Ferran Robles Sabater,,,,,,
Prof. Dr. Giuliana Giusti,Venezia,Prof. Dr. Giuliana Giusti,,,,,,
Dr. Esther Gimeno Ugalde,Wien,Dr. Esther Gimeno Ugalde,,,,,,
Prof. Dr. Gualtiero Boaglio,Wien,Prof. Dr. Gualtiero Boaglio,,,,,,
PD Dr. Margit Thir,Wien,PD Dr. Margit Thir,,,,,,
Dr. Max  Doppelbauer,Wien,Dr. Max  Doppelbauer,,,,,,
Dr. Sonja Kral,Wien,Dr. Sonja Kral,,,,,,
Dr. Marina Corrêa,Wien,Dr. Marina Corrêa,,,,,,
Dr. Laia Arnaus Gil,Wuppertal,Dr. Laia Arnaus Gil,,,,,,
Berit Callsen,Würzburg,Berit Callsen,,,,,,
Robert  Hesselbach,Würzburg,Robert  Hesselbach,,,,,,
Prof. Dr. Brigitte Burrichter,Würzburg,Prof. Dr. Brigitte Burrichter,,,,,,
Julien Bobineau,Würzburg,Julien Bobineau,,,,,,
Dr. Christof Schöch,Würzburg,Dr. Christof Schöch,,,,,,
Reto Zöllner,Zürich,Reto Zöllner,,,,,,
Prof. Dr. Johannes Kabatek,Zürich,Prof. Dr. Johannes Kabatek,,,,,,
Julie Dekens,Zürich,Julie Dekens,,,,,,
Dr. Inka Wissner,Zürich,Dr. Inka Wissner,,,,,,
Prof. Dr. Thomas Johnen,Zwickau,Prof. Dr. Thomas Johnen,,,,,,
